impid,aid,imp_name
2835,Bobby Moynihan,Karl Rove
2995,Anne Hathaway,Katie Holmes
3264,Cecily Strong,Lydia Callis
3265,Jason Sudeikis,Donald Trump
3252,Kate McKinnon,Martha Raddatz
2626,Jason Sudeikis,Dane Cook
3253,Fred Armisen,Gael García Bernal
3256,Taran Killam,Adrien Brody
3254,Jay Pharoah,Andre 3000
3255,Jason Sudeikis,Jerry Sandusky
3257,Christina Applegate,Uma Thurman
3260,Fred Armisen,Harrison Ford
3258,Bill Hader,Arnold Schwarzenegger
3261,Taran Killam,Liam Neeson
2962,Jay Pharoah,Denzel Washington
2930,Jason Sudeikis,Mel Gibson
1823,Chris Parnell,Jim Lehrer
2688,Fred Armisen,Penny Marshall
3244,Vanessa Bayer,Molly Ringwald
3243,Vanessa Bayer,Diane Keaton
3242,Taran Killam,Roger Moore
3241,Nasim Pedrad,Lea Michele
3247,Kate McKinnon,S.E. Cupp
3246,Jason Sudeikis,Chris Matthews
3248,Daniel Craig,Larry Caputo
3250,Vanessa Bayer,Victoria Caputo
3249,Kate McKinnon,Theresa Caputo
3236,Bill Hader,Robert Pattinson
3046,Nasim Pedrad,Kelly Ripa
3125,Bill Hader,Rick Perry
3120,Bill Hader,Clint Eastwood
